"No.","Time","Source","Destination","Protocol","Length","Info"
"1081","11.369975966","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=73188 Win=64240 Len=0"
"1082","11.370024079","192.168.126.132","159.124.46.38","TLSv1.3","522","Application Data"
"1083","11.370082644","192.168.126.132","159.124.46.38","TLSv1.3","495","Application Data"
"1084","11.370180037","192.168.126.132","159.124.46.38","TLSv1.3","559","Application Data"
"1085","11.370236448","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=73656 Win=64240 Len=0"
"1086","11.370319729","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=74097 Win=64240 Len=0"
"1087","11.370319761","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=74602 Win=64240 Len=0"
"1088","11.370393240","192.168.126.132","159.124.46.38","TLSv1.3","572","Application Data"
"1089","11.370473049","192.168.126.132","159.124.46.38","TLSv1.3","615","Application Data"
"1090","11.370530771","192.168.126.132","159.124.46.38","TLSv1.3","614","Application Data"
"1091","11.370728589","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=75120 Win=64240 Len=0"
"1092","11.370728778","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=75681 Win=64240 Len=0"
"1093","11.370728815","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=76241 Win=64240 Len=0"
"1094","11.370952375","192.168.126.132","159.124.46.38","TLSv1.3","221","Application Data"
"1095","11.371208518","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=76408 Win=64240 Len=0"
"1096","11.371265594","192.168.126.132","159.124.46.38","TLSv1.3","234","Application Data"
"1097","11.371336515","192.168.126.132","159.124.46.38","TLSv1.3","184","Application Data"
"1098","11.371389492","192.168.126.132","159.124.46.38","TLSv1.3","193","Application Data"
"1099","11.371472818","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=76588 Win=64240 Len=0"
"1100","11.371512835","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=76718 Win=64240 Len=0"
"1101","11.371512868","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=76857 Win=64240 Len=0"
"1102","11.371534986","192.168.126.132","159.124.46.38","TLSv1.3","184","Application Data"
"1103","11.371697918","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=76987 Win=64240 Len=0"
"1104","11.377998548","192.168.126.132","159.124.46.38","UDP","167","35995  >  8801 Len=125"
"1105","11.378155267","192.168.126.132","159.124.46.38","UDP","167","59402  >  8801 Len=125"
"1106","11.378217579","192.168.126.132","159.124.46.38","UDP","167","52509  >  8801 Len=125"
"1107","11.378278435","192.168.126.132","159.124.46.38","UDP","167","40888  >  8801 Len=125"
"1108","11.378336254","192.168.126.132","159.124.46.38","UDP","165","55367  >  8801 Len=123"
"1109","11.378396625","192.168.126.132","159.124.46.38","UDP","165","32956  >  8801 Len=123"
"1110","11.378485917","192.168.126.132","159.124.46.38","TLSv1.3","97","Application Data"
"1111","11.378732847","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19267 Ack=77030 Win=64240 Len=0"
"1112","11.379043106","192.168.126.132","159.124.46.38","UDP","229","36789  >  8801 Len=187"
"1113","11.379134847","192.168.126.132","159.124.46.38","UDP","1078","52926  >  8801 Len=1036"
"1114","11.379187091","192.168.126.132","159.124.46.38","UDP","1078","52926  >  8801 Len=1036"
"1115","11.379233881","192.168.126.132","159.124.46.38","UDP","1078","52926  >  8801 Len=1036"
"1116","11.388497025","159.124.46.38","192.168.126.132","UDP","86","8801  >  59402 Len=44"
"1117","11.388497431","159.124.46.38","192.168.126.132","UDP","86","8801  >  55367 Len=44"
"1118","11.388497469","159.124.46.38","192.168.126.132","UDP","60","8801  >  55367 Len=14"
"1119","11.388656090","159.124.46.38","192.168.126.132","UDP","86","8801  >  52509 Len=44"
"1120","11.388656235","159.124.46.38","192.168.126.132","UDP","60","8801  >  52509 Len=14"
"1121","11.388656271","159.124.46.38","192.168.126.132","UDP","60","8801  >  59402 Len=14"
"1122","11.388656295","159.124.46.38","192.168.126.132","UDP","86","8801  >  40888 Len=44"
"1123","11.388656319","159.124.46.38","192.168.126.132","UDP","60","8801  >  40888 Len=14"
"1124","11.388656343","159.124.46.38","192.168.126.132","UDP","86","8801  >  35995 Len=44"
"1125","11.388656366","159.124.46.38","192.168.126.132","UDP","60","8801  >  35995 Len=14"
"1126","11.388656389","159.124.46.38","192.168.126.132","UDP","86","8801  >  32956 Len=44"
"1127","11.388732466","159.124.46.38","192.168.126.132","UDP","60","8801  >  32956 Len=14"
"1128","11.389721111","159.124.46.38","192.168.126.132","TLSv1.3","174","Application Data, Application Data"
"1129","11.389721188","159.124.46.38","192.168.126.132","UDP","1078","8801  >  52926 Len=1036"
"1130","11.389985731","159.124.46.38","192.168.126.132","UDP","1078","8801  >  52926 Len=1036"
"1131","11.389985815","159.124.46.38","192.168.126.132","UDP","1078","8801  >  52926 Len=1036"
"1132","11.389985855","159.124.46.38","192.168.126.132","UDP","172","8801  >  36789 Len=130"
"1133","11.393269954","192.168.126.132","159.124.46.38","UDP","236","35995  >  8801 Len=194"
"1134","11.393515232","192.168.126.132","159.124.46.38","UDP","119","59402  >  8801 Len=77"
"1135","11.397021503","192.168.126.132","159.124.46.38","UDP","236","52509  >  8801 Len=194"
"1136","11.397195624","192.168.126.132","159.124.46.38","UDP","119","40888  >  8801 Len=77"
"1137","11.397297437","192.168.126.132","159.124.46.38","UDP","229","55367  >  8801 Len=187"
"1138","11.397356046","192.168.126.132","159.124.46.38","UDP","119","32956  >  8801 Len=77"
"1139","11.397626550","192.168.126.132","159.124.46.38","TLSv1.3","193","Application Data"
"1140","11.397787061","192.168.126.132","159.124.46.38","TLSv1.3","189","Application Data"
"1141","11.397847369","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=77169 Win=64240 Len=0"
"1142","11.397891305","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=77304 Win=64240 Len=0"
"1143","11.397915321","192.168.126.132","159.124.46.38","TLSv1.3","184","Application Data"
"1144","11.397967366","192.168.126.132","159.124.46.38","TLSv1.3","189","Application Data"
"1145","11.398011046","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=77434 Win=64240 Len=0"
"1146","11.398027260","192.168.126.132","159.124.46.38","TLSv1.3","184","Application Data"
"1147","11.398101586","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=77569 Win=64240 Len=0"
"1148","11.398151917","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=77699 Win=64240 Len=0"
"1149","11.400616896","192.168.126.132","159.124.46.38","TLSv1.3","186","Application Data"
"1150","11.401123667","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=77831 Win=64240 Len=0"
"1151","11.401767964","192.168.126.132","159.124.46.38","TLSv1.3","180","Application Data"
"1152","11.401876147","192.168.126.132","159.124.46.38","TLSv1.3","186","Application Data"
"1153","11.401952043","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=77957 Win=64240 Len=0"
"1154","11.401997964","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=78089 Win=64240 Len=0"
"1155","11.402021382","192.168.126.132","159.124.46.38","TLSv1.3","180","Application Data"
"1156","11.402180129","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=78215 Win=64240 Len=0"
"1157","11.402762335","192.168.126.132","159.124.46.38","TLSv1.3","180","Application Data"
"1158","11.402877572","192.168.126.132","159.124.46.38","TLSv1.3","180","Application Data"
"1159","11.402997674","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=78341 Win=64240 Len=0"
"1160","11.402997837","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=78467 Win=64240 Len=0"
"1161","11.404411743","192.168.126.132","159.124.46.38","TLSv1.3","199","Application Data"
"1162","11.404538404","192.168.126.132","159.124.46.38","TLSv1.3","200","Application Data"
"1163","11.404592103","192.168.126.132","159.124.46.38","TLSv1.3","201","Application Data"
"1164","11.404641669","192.168.126.132","159.124.46.38","TLSv1.3","200","Application Data"
"1165","11.404718772","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=78612 Win=64240 Len=0"
"1166","11.404802837","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=78758 Win=64240 Len=0"
"1167","11.405065808","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=78905 Win=64240 Len=0"
"1168","11.405065921","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=79051 Win=64240 Len=0"
"1169","11.408625016","192.168.126.132","159.124.46.38","TLSv1.3","464","Application Data"
"1170","11.409023243","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=79461 Win=64240 Len=0"
"1171","11.409202107","192.168.126.132","159.124.46.38","TLSv1.3","559","Application Data"
"1172","11.409502083","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=79966 Win=64240 Len=0"
"1173","11.409583874","192.168.126.132","159.124.46.38","TLSv1.3","572","Application Data"
"1174","11.409863081","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=80484 Win=64240 Len=0"
"1175","11.415594731","192.168.126.132","159.124.46.38","TLSv1.3","582","Application Data"
"1176","11.415729223","192.168.126.132","159.124.46.38","TLSv1.3","581","Application Data"
"1177","11.415937555","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=81012 Win=64240 Len=0"
"1178","11.415937610","159.124.46.38","192.168.126.132","UDP","1078","8801  >  36789 Len=1036"
"1179","11.415937637","159.124.46.38","192.168.126.132","UDP","1078","8801  >  36789 Len=1036"
"1180","11.415937663","159.124.46.38","192.168.126.132","UDP","1078","8801  >  36789 Len=1036"
"1181","11.415937691","159.124.46.38","192.168.126.132","UDP","1078","8801  >  36789 Len=1036"
"1182","11.416023430","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=81539 Win=64240 Len=0"
"1183","11.416132680","192.168.126.132","159.124.46.38","TLSv1.3","524","Application Data"
"1184","11.416196446","192.168.126.132","159.124.46.38","TLSv1.3","596","Application Data"
"1185","11.416252521","192.168.126.132","159.124.46.38","TLSv1.3","559","Application Data"
"1186","11.416503975","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=82009 Win=64240 Len=0"
"1187","11.416504162","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=82551 Win=64240 Len=0"
"1188","11.416504270","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=83056 Win=64240 Len=0"
"1189","11.418263450","192.168.126.132","159.124.46.38","TLSv1.3","572","Application Data"
"1190","11.418394529","192.168.126.132","159.124.46.38","TLSv1.3","582","Application Data"
"1191","11.418448928","192.168.126.132","159.124.46.38","TLSv1.3","581","Application Data"
"1192","11.418549954","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=83574 Win=64240 Len=0"
"1193","11.418593085","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=84102 Win=64240 Len=0"
"1194","11.418593118","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=84629 Win=64240 Len=0"
"1195","11.418618548","192.168.126.132","159.124.46.38","TLSv1.3","559","Application Data"
"1196","11.418675891","192.168.126.132","159.124.46.38","TLSv1.3","572","Application Data"
"1197","11.418728827","192.168.126.132","159.124.46.38","TLSv1.3","582","Application Data"
"1198","11.418772671","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=85134 Win=64240 Len=0"
"1199","11.418790410","192.168.126.132","159.124.46.38","TLSv1.3","581","Application Data"
"1200","11.418876713","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=85652 Win=64240 Len=0"
"1201","11.418876747","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=86180 Win=64240 Len=0"
"1202","11.418980239","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=86707 Win=64240 Len=0"
"1203","11.419053298","192.168.126.132","159.124.46.38","TLSv1.3","229","Application Data"
"1204","11.419197941","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=86882 Win=64240 Len=0"
"1205","11.419860389","192.168.126.132","159.124.46.38","TLSv1.3","234","Application Data"
