"No.","Time","Source","Destination","Protocol","Length","Info"
"51","0.502553420","192.168.126.132","173.194.76.84","QUIC","1292","Initial, DCID=63fb739accb3c31f, PKN: 1, CRYPTO, PING, PADDING, CRYPTO, PING, PADDING, PING, PING, PADDING, CRYPTO, PADDING, PING, CRYPTO, PING"
"52","0.502715400","192.168.126.2","192.168.126.132","DNS","101","Standard query response 0x28f2 A www.google.com A 142.250.75.68 OPT"
"53","0.502788407","192.168.126.132","173.194.76.84","QUIC","1292","Initial, DCID=63fb739accb3c31f, PKN: 2, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, PING, PADDING, PING, PING, PING, PING, PADDING, CRYPTO, PING, PADDING"
"54","0.508072492","192.168.126.2","192.168.126.132","DNS","110","Standard query response 0xc854 HTTPS www.google.com HTTPS OPT"
"55","0.509805912","192.168.126.132","142.250.75.68","QUIC","1292","Initial, DCID=226c13aa31d756cf, PKN: 1, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING"
"56","0.509948666","192.168.126.132","142.250.75.68","QUIC","1292","Initial, DCID=226c13aa31d756cf, PKN: 2, CRYPTO, PING, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PING, PING, CRYPTO, PING, PING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING"
"57","0.524525786","142.250.75.68","192.168.126.132","QUIC","82","Initial, SCID=e26c13aa31d756cf, PKN: 1, ACK"
"58","0.531711073","142.250.75.68","192.168.126.132","QUIC","1292","Initial, SCID=e26c13aa31d756cf, PKN: 2, ACK, PADDING"
"59","0.531711263","142.250.75.68","192.168.126.132","QUIC","1292","Initial, SCID=e26c13aa31d756cf, PKN: 3, CRYPTO, PADDING"
"60","0.532098288","192.168.126.132","142.250.75.68","TCP","74","33366  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=969496226 TSecr=0 WS=128"
"61","0.532253065","192.168.126.132","142.250.75.68","TCP","74","33380  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=969496226 TSecr=0 WS=128"
"62","0.532378328","192.168.126.132","142.250.75.68","TCP","74","33384  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=969496227 TSecr=0 WS=128"
