"No.","Time","Source","Destination","Protocol","Length","Info"
"51","0.527051008","192.168.126.2","192.168.126.132","DNS","140","Standard query response 0x7580 HTTPS accounts.google.com SOA ns1.google.com OPT"
"52","0.529598881","192.168.126.132","64.233.167.84","QUIC","1292","Initial, DCID=3364452a63bc0900, PKN: 1, PADDING, PING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PING, CRYPTO, PADDING, PING"
"53","0.529748570","192.168.126.132","64.233.167.84","QUIC","1292","Initial, DCID=3364452a63bc0900, PKN: 2, PADDING, PING, PING, CRYPTO, PING, PADDING, PING, PING, PING, PING, PING, CRYPTO, CRYPTO"
"54","0.536380148","192.168.126.132","142.250.75.68","QUIC","1292","Initial, DCID=0df25624b60bdc86, PKN: 1, PADDING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PING, CRYPTO, PADDING, PING, PADDING, PING, PING"
"55","0.536504090","192.168.126.132","142.250.75.68","QUIC","1292","Initial, DCID=0df25624b60bdc86, PKN: 2, CRYPTO, PADDING, PING, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PING"
"56","0.542861180","192.168.126.2","192.168.126.132","DNS","110","Standard query response 0x6f8a HTTPS www.google.com HTTPS OPT"
"57","0.560007748","192.168.126.132","142.250.75.68","TCP","74","33928  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=969266224 TSecr=0 WS=128"
"58","0.562790964","192.168.126.132","142.250.75.68","TCP","74","33932  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=969266227 TSecr=0 WS=128"
"59","0.563313875","192.168.126.132","142.250.75.68","TCP","74","33948  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=969266227 TSecr=0 WS=128"
"60","0.563799009","192.168.126.132","142.250.75.68","TCP","74","33964  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=969266228 TSecr=0 WS=128"
"61","0.577908864","142.250.75.68","192.168.126.132","QUIC","82","Initial, SCID=edf25624b60bdc86, PKN: 1, ACK"
"62","0.577909099","142.250.75.68","192.168.126.132","QUIC","1292","Initial, SCID=edf25624b60bdc86, PKN: 2, ACK, PADDING"
"63","0.577909128","142.250.75.68","192.168.126.132","QUIC","1292","Initial, SCID=edf25624b60bdc86, PKN: 3, CRYPTO, PADDING"
"64","0.577909152","142.250.75.68","192.168.126.132","QUIC","1292","Initial, SCID=edf25624b60bdc86, PKN: 4, CRYPTO, PADDING"
"65","0.577909179","142.250.75.68","192.168.126.132","TCP","60","443  >  33928 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"66","0.577963570","192.168.126.132","142.250.75.68","TCP","54","33928  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"67","0.578603652","192.168.126.132","142.250.75.68","QUIC","1292","Initial, DCID=edf25624b60bdc86, PKN: 3, ACK, PADDING"
"68","0.579013589","192.168.126.132","142.250.75.68","TLSv1.3","1810","Client Hello (SNI=www.google.com)"
"69","0.579249532","142.250.75.68","192.168.126.132","TCP","60","443  >  33928 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"70","0.579249606","142.250.75.68","192.168.126.132","TCP","60","443  >  33928 [ACK] Seq=1 Ack=1757 Win=64240 Len=0"
"71","0.590742431","142.250.75.68","192.168.126.132","TCP","60","443  >  33948 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"72","0.590778811","192.168.126.132","142.250.75.68","TCP","54","33948  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"73","0.591128935","192.168.126.132","142.250.75.68","TLSv1.3","1778","Client Hello (SNI=www.google.com)"
"74","0.591461134","142.250.75.68","192.168.126.132","TCP","60","443  >  33948 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"75","0.591461257","142.250.75.68","192.168.126.132","TCP","60","443  >  33948 [ACK] Seq=1 Ack=1725 Win=64240 Len=0"
"76","0.593090872","142.250.75.68","192.168.126.132","TCP","60","443  >  33932 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"77","0.593091071","142.250.75.68","192.168.126.132","TCP","60","443  >  33964 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"78","0.593133780","192.168.126.132","142.250.75.68","TCP","54","33932  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"79","0.593162928","192.168.126.132","142.250.75.68","TCP","54","33964  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"80","0.593842724","192.168.126.132","142.250.75.68","TLSv1.3","1842","Client Hello (SNI=www.google.com)"
"81","0.594222346","142.250.75.68","192.168.126.132","TCP","60","443  >  33932 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"82","0.594222462","142.250.75.68","192.168.126.132","TCP","60","443  >  33932 [ACK] Seq=1 Ack=1789 Win=64240 Len=0"
"83","0.594493893","192.168.126.132","142.250.75.68","TLSv1.3","1810","Client Hello (SNI=www.google.com)"
"84","0.594857744","142.250.75.68","192.168.126.132","TCP","60","443  >  33964 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"85","0.594857853","142.250.75.68","192.168.126.132","TCP","60","443  >  33964 [ACK] Seq=1 Ack=1757 Win=64240 Len=0"
"86","0.621002861","192.168.126.132","142.250.75.68","QUIC","79","Handshake, DCID=edf25624b60bdc86"
"87","0.639776228","192.168.126.132","64.233.167.84","TCP","74","36638  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2790842060 TSecr=0 WS=128"
"88","0.641071675","64.233.167.84","192.168.126.132","QUIC","82","Initial, SCID=f364452a63bc0900, PKN: 1, ACK"
"89","0.641071902","64.233.167.84","192.168.126.132","QUIC","1292","Initial, SCID=f364452a63bc0900, PKN: 2, ACK, PADDING"
"90","0.641071943","64.233.167.84","192.168.126.132","QUIC","1292","Initial, SCID=f364452a63bc0900, PKN: 3, CRYPTO, PADDING"
"91","0.641071969","64.233.167.84","192.168.126.132","QUIC","1292","Initial, SCID=f364452a63bc0900, PKN: 4, CRYPTO, PADDING"
"92","0.641071993","64.233.167.84","192.168.126.132","QUIC","1292","Handshake, SCID=f364452a63bc0900"
"93","0.641072019","64.233.167.84","192.168.126.132","QUIC","1292","Handshake, SCID=f364452a63bc0900"
"94","0.641072046","64.233.167.84","192.168.126.132","QUIC","1292","Handshake, SCID=f364452a63bc0900"
"95","0.641072070","142.250.75.68","192.168.126.132","QUIC","1292","Handshake, SCID=edf25624b60bdc86"
"96","0.641113663","142.250.75.68","192.168.126.132","QUIC","1292","Handshake, SCID=edf25624b60bdc86"
"97","0.641654746","192.168.126.132","64.233.167.84","QUIC","1292","Initial, DCID=f364452a63bc0900, PKN: 3, ACK, PADDING"
"98","0.642624969","142.250.75.68","192.168.126.132","QUIC","1292","Handshake, SCID=edf25624b60bdc86"
"99","0.642625123","142.250.75.68","192.168.126.132","QUIC","989","Protected Payload (KP0)"
"100","0.642625148","142.250.75.68","192.168.126.132","QUIC","1292","Handshake, SCID=edf25624b60bdc86"
"101","0.642625172","142.250.75.68","192.168.126.132","QUIC","264","Protected Payload (KP0)"
"102","0.642781957","192.168.126.132","64.233.167.84","QUIC","81","Handshake, DCID=f364452a63bc0900"
"103","0.642937249","192.168.126.132","142.250.75.68","QUIC","81","Handshake, DCID=edf25624b60bdc86"
"104","0.643290121","192.168.126.132","142.250.75.68","QUIC","81","Handshake, DCID=edf25624b60bdc86"
"105","0.643402354","192.168.126.132","142.250.75.68","QUIC","83","Handshake, DCID=edf25624b60bdc86"
"106","0.643468710","192.168.126.132","142.250.75.68","QUIC","83","Handshake, DCID=edf25624b60bdc86"
"107","0.644811743","192.168.126.132","64.233.167.84","QUIC","82","Handshake, DCID=f364452a63bc0900"
"108","0.645681870","192.168.126.132","142.250.75.68","QUIC","125","Handshake, DCID=edf25624b60bdc86"
"109","0.645917596","192.168.126.132","142.250.75.68","QUIC","116","Protected Payload (KP0), DCID=edf25624b60bdc86"
"110","0.646203172","192.168.126.132","142.250.75.68","QUIC","76","Protected Payload (KP0), DCID=edf25624b60bdc86"
"111","0.646459867","192.168.126.132","142.250.75.68","QUIC","788","Protected Payload (KP0), DCID=edf25624b60bdc86"
"112","0.646591171","192.168.126.132","142.250.75.68","QUIC","153","Protected Payload (KP0), DCID=edf25624b60bdc86"
"113","0.646695741","192.168.126.132","142.250.75.68","QUIC","150","Protected Payload (KP0), DCID=edf25624b60bdc86"
"114","0.647020994","192.168.126.132","142.250.75.68","QUIC","126","Protected Payload (KP0), DCID=edf25624b60bdc86"
"115","0.656266621","142.250.75.68","192.168.126.132","QUIC","1042","Protected Payload (KP0)"
"116","0.656266959","142.250.75.68","192.168.126.132","QUIC","179","Protected Payload (KP0)"
"117","0.656455729","192.168.126.132","142.250.75.68","QUIC","75","Protected Payload (KP0), DCID=edf25624b60bdc86"
"118","0.656585958","192.168.126.132","142.250.75.68","QUIC","75","Protected Payload (KP0), DCID=edf25624b60bdc86"
"119","0.657218432","142.250.75.68","192.168.126.132","QUIC","69","Protected Payload (KP0)"
"120","0.660103955","142.250.75.68","192.168.126.132","QUIC","70","Protected Payload (KP0)"
"121","0.660217082","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=edf25624b60bdc86"
"122","0.670682860","142.250.75.68","192.168.126.132","TLSv1.3","2878","Server Hello, Change Cipher Spec"
"123","0.670940660","192.168.126.132","142.250.75.68","TCP","54","33928  >  443 [ACK] Seq=1757 Ack=2825 Win=65535 Len=0"
"124","0.671316825","192.168.126.132","192.168.126.2","DNS","88","Standard query 0x8f7a A www.wikipedia.org OPT"
"125","0.671622054","142.250.75.68","192.168.126.132","TLSv1.3","2609","Application Data"
"126","0.671648293","192.168.126.132","142.250.75.68","TCP","54","33928  >  443 [ACK] Seq=1757 Ack=5380 Win=65535 Len=0"
"127","0.672657730","192.168.126.132","192.168.126.2","DNS","88","Standard query 0x2d3f HTTPS www.wikipedia.org OPT"
"128","0.677985588","192.168.126.132","142.250.75.68","TLSv1.3","128","Change Cipher Spec, Application Data"
"129","0.678366976","142.250.75.68","192.168.126.132","TCP","60","443  >  33928 [ACK] Seq=5380 Ack=1831 Win=64240 Len=0"
"130","0.682453430","142.250.75.68","192.168.126.132","TLSv1.3","5435","Server Hello, Change Cipher Spec, Application Data"
"131","0.682453546","142.250.75.68","192.168.126.132","TLSv1.3","2878","Server Hello, Change Cipher Spec"
"132","0.682453582","142.250.75.68","192.168.126.132","QUIC","70","Protected Payload (KP0)"
